Identity	2003	mystery	thriller	
Planet of the Apes	2001	action	adventure	thriller
Antitrust	2001	action	crime	drama
Dirty Pretty Things	2002	crime	drama	thriller
Bringing Down the House	2003	comedy		
Cradle 2 the Grave	2003	action	crime	drama
Death to Smoochy	2002	comedy	crime	drama
Hellboy	2004	action	fantasy	horror
Jui kuen II	1994	action	comedy	
Shi mian mai fu	2004	action	adventure	drama
Femme Fatale	2002	crime	drama	mystery
Lu ding ji	1992	action	comedy	
Back to the Future	1985	adventure	comedy	
Hei kek ji wong	1999	comedy	drama	romance
Resident Evil	2002	action	fantasy	horror
Back to the Future Part II	1989	adventure	comedy	
Ghost Ship	2002	horror	mystery	
Lu ding ji II: Zhi shen long jiao	1992	action	comedy	
I Spy	2002	action	adventure	comedy
Dead Ringers	1988	drama	thriller	
Solaris	2002	drama	mystery	romance
The Time Machine	2002	action	adventure	
The Lord of the Rings: The Return of the King	2003	adventure	drama	fantasy
Bad Santa	2003	comedy	crime	drama
White Chicks	2004	comedy	crime	
Shrek	2001	adventure	animation	comedy
Cruel Intentions 2	2000	drama		
Finding Nemo	2003	adventure	animation	comedy
Ice Age	2002	adventure	animation	comedy
The Boondock Saints	1999	action	crime	thriller
21 Grams	2003	crime	drama	thriller
Ju-on 2	2003	drama	horror	
Signs	2002	drama	thriller	
Monster	2003	biography	crime	drama
Stuck on You	2003	comedy	adult	
Equilibrium	2002	action	drama	thriller
"I, Robot"	2004	action	mystery	thriller
Not Another Teen Movie	2001	comedy		
Shaun of the Dead	2004	comedy	horror	
The Football Factory	2004	crime	drama	sport
Coyote Ugly	2000	comedy	drama	music
Immortel (ad vitam)	2004	action	animation	crime
Oldeuboi	2003	drama	mystery	thriller
This Is Spinal Tap	1984	comedy	music	
Kung fu	2004	action	comedy	crime
Pulp Fiction	1994	crime	drama	
Cabin Fever	2002	comedy	horror	
Brainstorm	1983	thriller		
A Boy and His Dog	1975	comedy	drama	thriller
Donnie Darko	2001	drama		
The Transporter	2002	action	crime	thriller
American Beauty	1999	drama	romance	
Reservoir Dogs	1992	crime	thriller	
"Janghwa, Hongryeon"	2003	drama	horror	mystery
Audition	1997	comedy		
Beautiful Creatures	2000	comedy	crime	drama
Resident Evil: Apocalypse	2004	action	horror	thriller
Crumb	1994	biography	comedy	documentary
Saw	2004	horror	mystery	
Shark Tale	2004	adventure	animation	comedy
The Grudge	2004	horror	mystery	thriller
Shanghai Noon	2000	action	adventure	comedy
Angel Heart	1987	horror	mystery	thriller
Team America: World Police	2004	action	animation	comedy
Hi no tori	1978	action	adventure	animation
The Big Bounce	2004	comedy	crime	
Johnson Family Vacation	2004	comedy		
Killerdeului suda	2001	action	comedy	drama
Troy	2004	adventure		
The Village	2004	drama	mystery	romance
Exorcist: The Beginning	2004	horror	mystery	thriller
La grande illusion	1937	drama	war	
Vozvrashchenie	2003	drama	mystery	thriller
Anger Management	2003	comedy		
The Age of Innocence	1993	drama	romance	
Revenge of the Pink Panther	1978	comedy	crime	mystery
Amarcord	1973	comedy	drama	
The Hunt for Red October	1990	action	adventure	thriller
The Naked Gun: From the Files of Police Squad!	1988	comedy	crime	
Spider-Man 2	2004	action	adventure	fantasy
Persona	1966	drama	thriller	
Point of No Return	1993	action	crime	drama
Mimi wo sumaseba	1995	animation	drama	family
Willard	2003	drama	horror	thriller
Mr 3000	2004	comedy	drama	romance
The Lion King II: Simba's Pride	1998	adventure	animation	family
Shrek 2	2004	adventure	animation	comedy
The Matrix Reloaded	2003	action		
The Matrix Revolutions	2003	action		
Million Dollar Baby	2004	drama	sport	
The Aviator	2004	biography	drama	
Spider-Man	2002	action	adventure	action
Finding Neverland	2004	biography	drama	family
Meet the Fockers	2004	comedy	romance	
The Polar Express	2004	adventure	animation	family
National Treasure	2004	action	adventure	mystery
Secretary	2002	comedy	drama	romance
Sky Captain and the World of Tomorrow	2004	action	adventure	mystery
The Bourne Supremacy	2004	action	thriller	
The Bourne Identity	2002	action	mystery	thriller
The Chronicles of Riddick	2004	action	adventure	thriller
Pitch Black	2000	action	horror	
Siu lam juk kau	2001	action	comedy	sport
The Manchurian Candidate	2004	drama	mystery	thriller
Adaptation.	2002	comedy	drama	
Agents secrets	2004	action	crime	thriller
Alfie	2004	comedy	drama	romance
AVP: Alien vs. Predator	2004	action	adventure	thriller
Aliens	1986	action	horror	
Alien: Resurrection	1997	action	horror	
Blade Runner	1982	thriller		
Nineteen Eighty-Four	1984	drama	romance	thriller
A Beautiful Mind	2001	biography	drama	
Pi	1998	drama	thriller	
Crash	1996	drama		
Ying xiong	2002	action	adventure	history
Blade: Trinity	2004	action	adventure	fantasy
Cube Zero	2004	mystery	thriller	
Dark City	1998	drama	fantasy	thriller
Face/Off	1997	action	crime	thriller
Fahrenheit 9/11	2004	comedy	documentary	drama
Dodgeball: A True Underdog Story	2004	comedy	sport	
Enter the Dragon	1973	action	crime	drama
Eternal Sunshine of the Spotless Mind	2004	drama	romance	
Final Fantasy: The Spirits Within	2001	action	adventure	animation
The Animatrix	2003	action	adventure	animation
Kill Bill: Vol. 1	2003	action		
A Bug's Life	1998	adventure	animation	comedy
Mulan II	2004	action	animation	comedy
Snake Eyes	1998	action	crime	drama
Pinocchio	2002	comedy	family	fantasy
Shall We Dance	2004	comedy	drama	romance
Ocean's Eleven	2001	crime	thriller	
Nathalie...	2003	drama		
Secret Window	2004	mystery	thriller	
S1m0ne	2002	comedy	drama	fantasy
Sphere	1998	drama	mystery	thriller
Spy Game	2001	action	crime	thriller
Office Space	1999	comedy		
The Butterfly Effect	2004	thriller		
The Core	2003	action	adventure	thriller
The Fifth Element	1997	action	adventure	
The Final Cut	2004	action	thriller	
Hulk	2003	action	action	fantasy
The Incredibles	2004	action	adventure	animation
The League of Extraordinary Gentlemen	2003	action	adventure	fantasy
Diarios de motocicleta	2004	adventure	biography	drama
The Untouchables	1987	crime	drama	thriller
Lara Croft Tomb Raider: The Cradle of Life	2003	action	adventure	fantasy
Lara Croft: Tomb Raider	2001	action	adventure	fantasy
The Rundown	2003	action	adventure	comedy
Lost in Translation	2003	drama		
The Forgotten	2004	drama	horror	mystery
The Broken Hearts Club: A Romantic Comedy	2000	comedy	drama	romance
Forrest Gump	1994	drama	romance	
Batoru rowaiaru	2000	action	drama	thriller
Monster's Ball	2001	drama	romance	
The Gift	2000	drama	mystery	thriller
Bang Bang You're Dead	2002	crime	drama	thriller
Kaze no tani no Naushika	1984	adventure	animation	fantasy
After the Sunset	2004	action	comedy	crime
Garden State	2004	comedy	drama	romance
Love & Pop	1998	drama		
Head in the Clouds	2004	drama	romance	war
Heat	1995	action	crime	drama
Wayne's World	1992	comedy	music	
GoldenEye	1995	action	adventure	thriller
The Big Lebowski	1998	comedy	crime	
Rain Man	1988	drama		
Red Dragon	2002	crime	drama	thriller
The Truman Show	1998	drama		
Akira	1988	action	animation	
The SpongeBob SquarePants Movie	2004	adventure	animation	comedy
Ong-bak	2003	action		
Eraserhead	1977	fantasy	horror	
Hauru no ugoku shiro	2004	adventure	animation	family
Starship Troopers	1997	action		
The Emperor's New Groove	2000	adventure	animation	comedy
Following	1998	mystery	thriller	
War Photographer	2001	documentary	war	
Indiana Jones and the Last Crusade	1989	action	adventure	action
Hot Shots! Part Deux	1993	action	comedy	
Pirates of the Caribbean: The Curse of the Black Pearl	2003	action	adventure	fantasy
Funny Games	1997	thriller		
Constantine	2005	drama	fantasy	horror
Assault on Precinct 13	2005	action	crime	drama
Kids	1995	drama		
Hung wan yat tew loong	1998	comedy	drama	romance
Gin gwai 2	2004	drama	fantasy	horror
